batch_id,amine_smiles,cobalt_smiles,oxidant_smiles,alkali_smiles,solvent_smiles,yield,ee
0,[NH3+][C@H](CNC(C1=CC=CC=C1)C2=CC=CC=C2)C(C)(C)C.[O-]S(=O)(C(F)(F)F)=O,Co-4,O=S([O-])(OO)=O,O=C(O)C,ClC(Cl)Cl,0,0
0,[NH3+][C@H](CNC(C1=CC=C(Br)C=C1)C2=CC=C(Br)C=C2)C(C)(C)C.[O-]S(=O)(C(F)(F)F)=O,Co-4,[Ag+],O=C(C1=CC=CC=C1)O,CC#N,0,0
0,[NH3+][C@H](C(C)(C)C)CN1CCSCC1.O=S(=O)([O-])C(F)(F)F,Co-8,O=IC1=CC=CC=C1,O=C([O-])[O-],CCOCC,1,22
0,[NH3+][C@H](C(C)(C)C)CN1CCSCC1.O=S(=O)([O-])C(F)(F)F,Co-4,O=S([O-])(OO)=O,O=C([O-])O,CC#N,0,0
0,[NH3+][C@@H](C(C)(C)C)CN1CCCCC1.[O-]S(=O)(C(F)(F)F)=O,Mn-1,O=C(CC1)N(Cl)C1=O,O=C(O)C,ClCCl,13,65
0,[NH3+][C@@H](C(C)(C)C)CN1CCCCC1.[O-]S(=O)(C(F)(F)F)=O,Co-10,O=C(CC1)N(Cl)C1=O,O=C([O-])[O-],ClC(Cl)Cl,5,87
0,[NH3+][C@@H](C(C)(C)C)CN1CCCCC1.[O-]S(=O)(C(F)(F)F)=O,Co-4,O=C(N1Cl)C2=C(C=CC=C2)C1=O,O=C([O-])O,ClCCl,27,85
0,[NH3+][C@@H](C(C)(C)C)CN1CCCCC1.[O-]S(=O)(C(F)(F)F)=O,Co-4,O=C(CC1)N(Cl)C1=O,O=C([O-])O,ClCCl,58,83
1,[NH3+][C@@H](C(C)(C)C)CN1CCCCC1.[O-]S(=O)(C(F)(F)F)=O,Co-7,O=C(CC1)N(Cl)C1=O,N12CCCN=C1CCCCC2,CC1=CC=CC=C1,4,11
1,[NH3+][C@H](CN(CCOC)CCOC)C(C)(C)C.[O-]S(=O)(C(F)(F)F)=O,Co-12,F[N+]1=CC=CC=C1,O=C(C1=CC=CC=C1)O,ClCCl,8,34
1,[NH3+][C@H](CN(C1)CC1(F)F)C(C)(C)C.[O-]S(=O)(C(F)(F)F)=O,Co-2,[Ag+],O=P([O-])([O-])[O-],ClCCl,4,57
1,[NH3+][C@H](CN(C1)CC1(F)F)C(C)(C)C.[O-]S(=O)(C(F)(F)F)=O,Co-9,O=C1OI(O)C2=CC=CC=C21,N12CCN(CC2)CC1,ClCCl,0,0
1,[NH3+][C@H](CN(C)C1=CC=NC=C1)C(C)(C)C.[O-]S(=O)(C(F)(F)F)=O,Co-4,O=I(C1=CC=CC=C1C(O)=O)=O,O=C([O-])O,ClC(Cl)Cl,0,0
2,[NH3+][C@H](CN(C)C)C12C[C@H]3C[C@H](C[C@H](C3)C2)C1.[O-]S(=O)(C(F)(F)F)=O,Co-5,O=S([O-])(OOS(=O)([O-])=O)=O,O=C(O)[O-],ClCCl,0,0
2,[NH3+][C@@H]1CCCC[C@H]1N(CC2=CC=CC=C2)CC3=CC=CC=C3.O=S([N-]S(=O)(C(F)(F)F)=O)(C(F)(F)F)=O,Co-1,[Ce+4],N12CCN(CC2)CC1,CS(C)=O,0,0
2,[NH3+][C@H](CN1CCC(Cl)CC1)C(C)(C)C.[O-]S(=O)(C(F)(F)F)=O,Co-4,[Ag+],O=P([O-])([O-])[O-],ClCCl,11,56
2,[NH3+][C@@H](C(C)(C)C)CN1CCCCC1.[O-]S(=O)(C(F)(F)F)=O,Co-4,O=C(CC1)N(Cl)C1=O,O=P([O-])([O-])[O-],ClCCl,5,40
2,[NH3+][C@H](CNC(C1=CC=C(Cl)C=C1)C2=CC=C(Cl)C=C2)C(C)(C)C.[O-]S(=O)(C(F)(F)F)=O,Co-4,F[N+]1=C(C)C=C(C)C=C1C,O=C([O-])[O-],ClCCl,0,0
3,[NH3+][C@H](CN1CCC(Cl)CC1)C(C)(C)C.[O-]S(=O)(C(F)(F)F)=O,Mn-2,O=S([O-])(OO)=O,N12CCCN=C1CCCCC2,ClCCl,1,0
3,[NH3+][C@@H](C(C)(C)C)CN1CCCCC1.[O-]S(=O)(C(F)(F)F)=O,Co-12,O=C(N1Cl)C2=C(C=CC=C2)C1=O,O=P([O-])([O-])[O-],ClCCl,0,0
3,[NH3+][C@H](CNC(C1=CC(F)=CC(F)=C1)C2=CC(F)=CC(F)=C2)C(C)(C)C.[O-]S(=O)(C(F)(F)F)=O,Co-12,F[N+]1=C(C)C=C(C)C=C1C,N12CCCN=C1CCCCC2,CN(C)C=O,0,0
3,[NH3+][C@@H](C(C)(C)C)CN1CCCCC1.[O-]S(=O)(C(F)(F)F)=O,Co-10,O=C(CC1)N(Cl)C1=O,O=C([O-])O,CC#N,2,12
3,[NH3+][C@@H](C(C)(C)C)CN1CCCCC1.[O-]S(=O)(C(F)(F)F)=O,Co-9,O=C(CC1)N(Cl)C1=O,O=C([O-])O,FC(F)(C(O)C(F)(F)F)F,0,0
4,[NH3+][C@@H](C(C)(C)C)CN1CCCCC1.[O-]S(=O)(C(F)(F)F)=O,Co-7,F[N+]1=CC=CC=C1,O=C([O-])O,FC(F)(C(O)C(F)(F)F)F,0,0
4,[NH3+][C@H](CNC(C1=CC=C(F)C=C1)C2=CC=C(F)C=C2)C(C)C.[O-]S(=O)(C(F)(F)F)=O,Mn-1,[Ag+],O=P([O-])([O-])[O-],CC1=CC=CC=C1,0,0
4,[NH3+][C@H](CNC(C)(C)C)C(C)(C)C.[O-]C(C)=O,Mn-1,O=C(CC1)N(Cl)C1=O,O=P([O-])([O-])[O-],ClC(Cl)Cl,0,0
4,[NH3+][C@H](CN(C)C1=CC=NC=C1)C(C)(C)C.[O-]S(=O)(C(F)(F)F)=O,Co-9,O=C(CC1)N(Cl)C1=O,O=P([O-])([O-])[O-],CC1=CC=CC=C1,0,0
4,[NH3+][C@@H](C(C)(C)C)CN1CCCCC1.[O-]S(=O)(C(F)(F)F)=O,Co-4,O=S(C1=C(C=CC=C1)C2=O)(N2Cl)=O,O=C([O-])O,ClCCl,5,72
5,[NH3+][C@@H](C(C)(C)C)CN1CCCCC1.[O-]S(=O)(C(F)(F)F)=O,Co-4,O=C1C(C)(C)N(Cl)C(N1Cl)=O,O=C([O-])O,ClCCl,2,82
5,[NH3+][C@@H](C(C)(C)C)CN1CCCCC1.[O-]S(=O)(C(F)(F)F)=O,Co-4,O=C(N1Cl)N(Cl)C(N(Cl)C1=O)=O,O=C([O-])O,ClCCl,0,0
5,[NH3+][C@@H](C(C)(C)C)CNC(C)(C)C.O=C(C(F)(F)F)[O-],Co-3,O=C(CC1)N(Cl)C1=O,O=C([O-])O,ClCCl,11,88
5,[NH3+][C@@H](C(C)(C)C)CNC(C)(C)C.O=C(C(F)(F)F)[O-],Co-3,Cl/N=C(NC(OC)=O)/NC(OC)=O,O=C([O-])O,ClCCl,0,0
