batch_id,amine_smiles,cobalt_smiles,oxidant_smiles,alkali_smiles,solvent_smiles,yield,ee,select_tag
0,CC(C)(C)[C@H]([NH3+])CN1CCS(=O)(=O)CC1.O=S(=O)([O-])C(F)(F)F,Co-10,F[N+]12CC[N+](CCl)(CC1)CC2,C1CCC2=NCCCN2CC1,ClC(Cl)Cl,0,0,TRUE
0,CC(C)(C)[C@H]([NH3+])CN1CCC(F)(F)CC1.O=S(=O)([O-])C(F)(F)F,Co-7,F[n+]1ccccc1,c1ccncc1,ClCCCl,0,0,TRUE
0,CC(C)(C)[C@H]([NH3+])CNC12C[C@H]3C[C@@H](C1)C[C@@H](C2)C3.O=S(=O)([O-])C(F)(F)F,Co-5,F[n+]1ccccc1,O=C(O)c1ccccc1,ClCCCl,31,87,TRUE
0,CC(C)(C)[C@H]([NH3+])CN1CCC(F)(F)C1.O=S(=O)([O-])C(F)(F)F,Co-8,O=C1c2ccccc2C(=O)N1Cl,O=C(O)c1ccccc1,CC#N,27,72,TRUE
0,CC(C)(C)[C@H]([NH3+])CN1CCC(Cl)CC1.O=S(=O)([O-])C(F)(F)F,Co-6,O=C1CCC(=O)N1Cl,O=C(O)c1ccccc1,CC#N,25,60,TRUE
0,CC(C)(C)[C@H]([NH3+])CN1CCOCC1.O=C([O-])C(F)(F)F,Co-5,O=C1CCC(=O)N1Cl,c1ccncc1,CC#N,21,56,TRUE
1,CC(C)(C)[C@H]([NH3+])CNC12C[C@H]3C[C@@H](C1)C[C@@H](C2)C3.O=S(=O)([O-])C(F)(F)F,Co-5,O=C1c2ccccc2C(=O)N1Cl,O=C(O)c1ccccc1,CC#N,25,67,TRUE
1,CC(C)(C)[C@H]([NH3+])CNC12C[C@H]3C[C@@H](C1)C[C@@H](C2)C3.O=S(=O)([O-])C(F)(F)F,Co-8,F[n+]1ccccc1,O=C(O)c1ccccc1,ClCCCl,23,71,TRUE
1,CC(C)(C)[C@H]([NH3+])CNC12C[C@H]3C[C@@H](C1)C[C@@H](C2)C3.O=S(=O)([O-])C(F)(F)F,Co-5,F[n+]1ccccc1,CN(C)c1ccncc1,ClCCCl,0,0,TRUE
1,CC(C)(C)[C@H]([NH3+])CN1CCC(F)(F)C1.O=S(=O)([O-])C(F)(F)F,Mn-2,O=C1c2ccccc2C(=O)N1Cl,O=C(O)c1ccccc1,CC#N,26,68,TRUE
1,CC(C)(C)[C@H]([NH3+])CNC12C[C@H]3C[C@@H](C1)C[C@@H](C2)C3.O=S(=O)([O-])C(F)(F)F,Co-5,F[n+]1ccccc1,CC(=O)O,ClCCCl,21,40,TRUE
2,CC(C)(C)[C@H]([NH3+])CNC12C[C@H]3C[C@@H](C1)C[C@@H](C2)C3.O=S(=O)([O-])C(F)(F)F,Mn-1,O=C1CCC(=O)N1Cl,O=C(O)c1ccccc1,CC#N,27,42,TRUE
2,CC(C)(C)[C@H]([NH3+])CNC12C[C@H]3C[C@@H](C1)C[C@@H](C2)C3.O=S(=O)([O-])C(F)(F)F,Co-5,Cc1cc(C)[n+](F)c(C)c1,O=C(O)c1ccccc1,ClCCCl,30,44,TRUE
2,CC(C)(C)[C@H]([NH3+])CNC12C[C@H]3C[C@@H](C1)C[C@@H](C2)C3.O=C([O-])C(F)(F)F,Co-5,F[n+]1ccccc1,O=C(O)c1ccccc1,CC#N,23,43,TRUE
2,C[C@@H]1CN(C[C@@H]([NH3+])C(C)(C)C)C[C@H](C)O1.O=S(=O)([O-])C(F)(F)F,Co-5,O=C1c2ccccc2C(=O)N1Cl,O=C(O)c1ccccc1,CC#N,22,46,TRUE
2,CC(C)(C)[C@H]([NH3+])CN1CCC(F)(F)C1.O=C([O-])C(F)(F)F,Co-3,O=C1c2ccccc2C(=O)N1Cl,O=C(O)c1ccccc1,CC#N,26,66,TRUE
3,CC(C)(C)NC[C@@H]([NH3+])C(C)(C)C.O=C([O-])C(F)(F)F,Co-4,O=C1c2ccccc2C(=O)N1Cl,O=C(O)c1ccccc1,CC#N,24,78,TRUE
3,CC(C)(C)[C@H]([NH3+])CN1CCC(F)(F)C1.O=C([O-])C(F)(F)F,Co-5,O=C1CCC(=O)N1Cl,O=C(O)c1ccccc1,CC#N,28,78,TRUE
3,CC(C)(C)[C@H]([NH3+])CN1CCOCC1.O=C([O-])C(F)(F)F,Co-2,O=C1c2ccccc2C(=O)N1Cl,O=C(O)c1ccccc1,CC#N,25,66,TRUE
3,CC(C)(C)[C@H]([NH3+])CNC12C[C@H]3C[C@@H](C1)C[C@@H](C2)C3.O=S(=O)([O-])C(F)(F)F,Co-5,F[n+]1ccccc1,O=C(O)c1ccccc1,CC#N,30,4,TRUE
3,C[C@H]1COCCN1C[C@@H]([NH3+])C(C)(C)C.O=S(=O)([O-])C(F)(F)F,Co-4,O=C1c2ccccc2C(=O)N1Cl,O=C(O)c1ccccc1,CC#N,25,44,TRUE
4,CC(C)(C)[C@H]([NH3+])CN1CCC(F)(F)C1.O=C([O-])C(F)(F)F,Co-5,O=C1c2ccccc2C(=O)N1Cl,O=C(O)c1ccccc1,ClCCCl,38,66,TRUE
4,CC(C)(C)NC[C@@H]([NH3+])C(C)(C)C.O=C([O-])C(F)(F)F,Co-5,O=C1CCC(=O)N1Cl,O=C(O)c1ccccc1,CC#N,21,59,TRUE
4,CC(C)(C)[C@H]([NH3+])CN1CCC(F)(F)C1.O=C([O-])C(F)(F)F,Mn-1,O=C1CCC(=O)N1Cl,O=C(O)c1ccccc1,CC#N,27,67,TRUE
4,CC(C)(C)[C@H]([NH3+])CNC12C[C@H]3C[C@@H](C1)C[C@@H](C2)C3.O=C([O-])C(F)(F)F,Co-2,O=C1c2ccccc2C(=O)N1Cl,O=C(O)c1ccccc1,ClCCCl,23,59,TRUE
4,CC(C)(C)[C@H]([NH3+])CN1CCC(F)(F)C1.O=C([O-])C(F)(F)F,Co-5,F[N+]12CC[N+](CCl)(CC1)CC2,O=C(O)c1ccccc1,CC#N,19,64,TRUE
