,E_HOMO,VIP,VEA,Mulliken_Chi,Chem_potential,Elec_hardness,Elec_softness,Electro_idx,Nucleo_idx,min_ESP,max_ESP,aver_pESP,aver_nESP,aver_oESP,vari_p_ESP,vari_n_ESP,vari_o_ESP,char_balance,MPI,area_pSurface,area_nSurface,aver_ALIE,vari_ALIE,aver_LEAE,vari_LEAE,aver_LEA,vari_LEA,Molecular_ES_radius_min,Molecular_ES_radius_max,Molecular_volumn,Molecular_sphericity,Molecular_all_surface_area,Molecular_length,Molecular_widht,Molecular_height,HOMO_energy,LUMO_energy,HOMO_LUMO_energy_gap,HOMO_ODI,LUMO_ODI,dipole,<r^2>
Co-1,-0.177813,0.228231,0.005034,0.116632,-0.116632,0.223197,4.480354,0.030473,0.157385,-0.038332,0.038476,0.01298036,-0.01106372,0.00076621,0.00010228,7.247e-05,0.00017475,0.24272719,0.32671965,1092.59926,1128.08507,0.40782454,0.00090275,-0.9439374,0.017547,-0.0024148,3.5e-05,3.102582,19.455217,5307.55682,0.6625,2221.22729,20.041,12.693,8.984,-0.1930855,-0.0683255,0.12476,6.54,4.91,2.301365,29279.044408
Co-2,-0.1784,0.216321,0.004727,0.110524,-0.110524,0.211594,4.72604,0.028866,0.156798,-0.033473,0.031553,0.01226032,-0.01042527,0.00065378,7.967e-05,6.315e-05,0.00014282,0.24665821,0.30807257,1239.40401,1298.4138,0.40427813,0.001268,-0.947944,0.015631,-0.0050575,6.7e-05,3.76662,19.803237,6039.30501,0.6318,2538.48322,20.136,15.359,7.71,-0.1970955,-0.065623,0.1314725,5.65,7.48,2.507904,38348.090274
Co-3,-0.17994,0.216401,0.005409,0.110905,-0.110905,0.210992,4.739524,0.029148,0.155258,-0.031235,0.038017,0.01310839,-0.01061717,0.00057265,0.00012626,6.424e-05,0.0001905,0.22350654,0.32087987,963.45613,1079.34244,0.40458786,0.00098981,-0.9403392,0.016011,-0.0032375,5e-05,2.733406,19.574187,4757.14214,0.6694,2043.33655,20.324,11.661,7.648,-0.1987185,-0.069528,0.12919049999999999,6.32,5.4,2.099759,27264.645242
Co-4,-0.180879,0.232311,0.002492,0.117402,-0.117402,0.229819,4.351254,0.029987,0.154319,-0.035053,0.036069,0.01258072,-0.01052376,0.00064961,0.00010278,6.228e-05,0.00016506,0.23495001,0.31343451,1021.81903,1091.11489,0.4066871,0.0008618,-0.9441643,0.017479,-0.0028205,3.9e-05,2.440597,19.437425,4888.69429,0.6591,2113.41942,20.116,11.514,9.453,-0.196173,-0.063972,0.132201,5.98,6.71,1.945702,27407.038095
Co-5,-0.229678,0.265954,0.038818,0.152386,-0.152386,0.227137,4.402637,0.051118,0.10552,-0.055671,0.060241,0.02709508,-0.02786534,0.00913703,0.00035214,0.0002573,0.00060944,0.24394547,0.74414314,878.12959,426.17527,0.43379933,0.00190303,-0.9962476,0.031274,-0.016942,0.000307,3.706072,18.243175,2733.38215,0.7247,1304.52499,18.426,9.078,5.406,-0.243048,-0.1058035,0.1372445,7.16,6.32,2.115234,16869.779489
Co-6,-0.210981,0.245135,0.029355,0.137245,-0.137245,0.215781,4.634339,0.043647,0.124217,-0.061362,0.052665,0.02731598,-0.01578217,0.00333187,0.00026702,0.00015794,0.00042496,0.23352918,0.56864766,609.65696,764.99147,0.40573912,0.00197493,-0.9295032,0.01369,-0.0094196,0.00019,3.724914,17.582425,2903.89846,0.7159,1374.87988,18.111,10.182,5.419,-0.2181095,-0.09343850000000001,0.124671,5.95,6.57,3.166947,16618.450012
Co-7,-0.18175,0.223014,0.024339,0.123676,-0.123676,0.198675,5.033334,0.038494,0.153448,-0.061847,0.043317,0.01970879,-0.01968451,0.00039709,0.00015747,0.00017321,0.00033068,0.24943343,0.53597955,742.69749,714.22354,0.3993551,0.00232781,-0.9310153,0.013642,-0.0083044,0.000126,3.447129,19.504152,3139.66505,0.7116,1457.16638,20.169,9.954,5.438,-0.1947825,-0.080926,0.113856,5.68,5.22,2.421159,18420.986751
Co-8,-0.173364,0.218391,0.001225,0.109808,-0.109808,0.217166,4.604772,0.027762,0.161834,-0.039812,0.040938,0.01814199,-0.0142219,-0.00067329,0.00012928,8.478e-05,0.00021407,0.23919754,0.43165362,707.97294,983.17932,0.40706689,0.00188011,-0.9581222,0.018178,-0.0033142,4.1e-05,2.930365,19.022686,3953.98321,0.7149,1691.52715,19.63,11.947,7.51,-0.187236,-0.062926,0.12431,5.84,5.13,2.075245,18588.072322
Co-9,-0.185651,0.226404,-237.878434,-118.826015,118.826015,238.104838,0.0042,29.65001,0.149547,-0.029135,0.043645,0.01053268,-0.00924398,0.00122686,8.648e-05,4.574e-05,0.00013222,0.22626725,0.27010795,1135.00268,1008.71846,0.40449636,0.00102806,-0.9417578,0.015683,-0.0043955,7.2e-05,3.020954,19.472293,5077.68684,0.6663,2144.25908,20.061,14.341,7.47,-0.2018295,-0.083944,0.1178855,5.14,6.02,1.522776,29881.700227
Co-10,-0.215276,0.26013,-0.003116,0.128507,-0.128507,0.263246,3.798731,0.031366,0.119922,-0.064518,0.042624,0.01715742,-0.02317004,-7.701e-05,9.993e-05,0.00042618,0.00052611,0.15386318,0.53679868,978.97241,730.6115,0.40059604,0.0034704,-0.9433242,0.013332,-0.0110685,9.8e-05,4.252198,15.799171,3985.97002,0.711,1709.91985,14.722,13.068,8.169,-0.224989,-0.07321,0.151779,13.47,4.47,3.485233,15604.741301
