smiles,code
CC1(C)[N+]2=CC3=CC(C(C)(C)C)=CC(C(C)(C)C)=C3O[Co2]42OC5=C(C(C)(C)C)C=C(C(C)(C)C)C=C5C=[N+]4C1(C)C,Co-1
CC(C1=C2C(C=[N+]3[C@H](C4=CC=CC=C4)[C@@H](C5=CC=CC=C5)[N+]6=CC7=CC(C(C)(C)C)=CC(C(C)(C)C)=C7O[Co2]36O2)=CC(C(C)(C)C)=C1)(C)C,Co-2
CC(C1=C2C(C=[N+]3CC[N+]4=CC5=CC(C(C)(C)C)=CC(C(C)(C)C)=C5O[Co2]34O2)=CC(C(C)(C)C)=C1)(C)C,Co-3
CC(C1=C2C(C=[N+]3CCC[N+]4=CC5=CC(C(C)(C)C)=CC(C(C)(C)C)=C5O[Co2]34O2)=CC(C(C)(C)C)=C1)(C)C,Co-4
O=[N+](C1=CC=C2O[Co2]34OC5=CC=C([N+]([O])=O)C=C5C=[N+]3CC[N+]4=CC2=C1)[O],Co-5
ClC1=CC(Cl)=C2O[Co2]34OC5=C(Cl)C=C(Cl)C=C5C=[N+]3CC[N+]4=CC2=C1,Co-6
C1(C=CC=C2)=C2C=C3C(C=[N+]4CC[N+]5=CC6=CC7=C(C=CC=C7)C=C6O[Co2]45O3)=C1,Co-7
CC(C1=C2C(C=[N+]3CC[N+]4=CC5=CC(OC)=CC(C(C)(C)C)=C5O[Co2]34O2)=CC(OC)=C1)(C)C,Co-8
CC(C1=C2C(C=[N+]3C4=C(C=CC=C4)[N+]5=CC6=CC(C(C)(C)C)=CC(C(C)(C)C)=C6O[Co2]35O2)=CC(C(C)(C)C)=C1)(C)C,Co-9
Cl[Co2]1(Cl)[P+](C2=CC=CC=C2)(C3=CC=CC=C3)CC[P+]1(C4=CC=CC=C4)C5=CC=CC=C5,Co-10
[N+]1([Co4-]234([N+]5=CC=CC=C5C6=[N+]4C=CC=C6)[N+](C=CC=C7)=C7C8=CC=CC=[N+]83)=CC=CC=C1C9=[N+]2C=CC=C9,Co-11
Cl[Mn2]123N4C(C(C5=CC=CC=C5)=C6[N+]2=C7C=C6)=CC=C4C(C8=CC=CC=C8)=C9C=CC(C(C%10=CC=CC=C%10)=C%11N3C(C=C%11)=C7C%12=CC=CC=C%12)=[N+]91,Mn-1
CC(C)(C)C1=C(O[Mn2]23(Cl)OC4=C5C=C(C(C)(C)C)C=C4C(C)(C)C)C(C=[N+]2[C@H](CCCC6)[C@@H]6[N+]3=C5)=CC(C(C)(C)C)=C1,Mn-2
