,alcohol_SMILES,OH_level,Exp_State,component1,component2,label
0,CC(C)(C)OC(=O)N1CCC(CO)C1,1,No_Exp,-1.4334202,7.4984255,1
1,Oc1ccncc1,2,No_React,-1.3155471,-0.9625316,9
2,O=C1CC[C@@H](CO)N1,1,No_Exp,2.5483274,9.856599,4
3,CC(C)c1cccc(=O)c(O)c1,2,No_Exp,2.4776714,4.2588196,0
4,CC(C)(C)OC(=O)Nc1cccc(O)c1,2,No_Exp,-2.7360914,1.0290357,9
5,COc1ccc(-c2coc3cc(O)ccc3c2=O)cc1,2,No_Exp,-1.3637463,-0.091112636,9
6,COc1ccc(C=O)cc1O,2,No_Exp,3.7300317,3.9407034,0
7,COc1cc(CO)c([N+](=O)[O-])cc1OC,1,No_Exp,6.0163956,16.41685,2
8,COC(=O)CO,1,No_Exp,3.3927822,7.089934,0
9,COC(=O)CCc1ccc(O)cc1,2,No_Exp,-2.1400423,1.8510884,9
10,COC(=O)C[C@H](O)C(=O)OC,2,No_Exp,5.5097446,13.223584,2
11,Cc1cccnc1O,2,No_Exp,-0.803533,7.2728477,1
12,Cc1cccc(O)n1,2,No_Exp,-3.6838593,1.4360359,8
13,Cc1ccc(O)cn1,2,No_Exp,-0.44344246,0.47122565,9
14,Cc1cc(O)ccc1Br,2,No_Exp,-2.9300027,-0.31669933,9
15,Cc1ccc(F)c(O)c1,2,No_Exp,1.6176137,5.748524,0
16,Cc1c(OCC(F)(F)F)ccnc1CO,1,No_Exp,3.8452926,7.1735954,0
17,CC(C)CC(O)CC(C)C,2,No_Exp,3.5137517,14.3737335,2
18,CC(C)(C)OC(=O)NCCO,1,No_Exp,7.1090326,16.920052,2
19,COC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)OC(C)(C)C,2,No_Exp,-0.80746853,1.0886916,9
20,COC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c1ccccc1,2,No_Exp,2.0782077,12.234727,4
21,COC(=O)C(C)(C)CO,1,No_Exp,0.6690622,15.314422,6
22,CC(C)(C)OC(=O)N1CCCC(CO)C1,1,No_Exp,0.7617481,14.712771,6
23,CC(C)(C)OC(=O)N1CCC(O)C1,2,No_Exp,3.8944454,10.882338,4
24,CC(C)(C)OC(=O)N1CC(O)C1,2,No_Exp,3.058953,10.075778,4
25,CC(C)(C)c1ccc(O)c(C=O)c1,2,No_Exp,-1.4426854,10.691776,1
26,CC(C)(C)c1cc(C=O)c(O)c(C(C)(C)C)c1,2,No_Exp,5.300868,19.752918,10
27,CC(=O)c1cccc(O)c1,2,No_Exp,1.551889,1.7492739,11
28,COc1cc(C(C)=O)ccc1O,2,No_Exp,3.539242,4.969635,0
29,OC1CCOCC1,2,No_Exp,8.262324,10.9591,3
30,O[C@H]1CCOC1,2,No_Exp,5.7948246,10.401232,3
31,OCC1CCCCC1,1,React,-2.3532863,7.795583,1
32,OC1COC1,2,No_Exp,4.8986073,8.672049,0
33,Oc1cccnc1,2,No_Exp,-0.85870695,-1.4990706,9
34,Oc1cc(Br)ccn1,2,No_Exp,-3.553073,2.52708,8
35,Oc1cccc2[nH]ccc12,2,No_Exp,-1.5348998,5.0374694,7
36,OCc1ccccn1,1,No_Exp,3.5769944,7.9002824,0
37,Oc1ccc(OCc2ccccc2)cc1,2,No_Exp,-1.9580715,-0.71925324,9
38,Oc1ccccc1F,2,No_Exp,1.3272401,5.2835946,7
39,OCCc1ccccc1Cl,1,No_Exp,-0.13797346,14.229763,6
40,Oc1ccc(Br)nc1,2,No_Exp,1.2936503,-0.0031356895,11
41,OCc1cccc(Br)c1,1,No_Exp,-1.8576556,15.236616,6
42,Oc1ncccc1Br,2,No_Exp,-0.97492665,3.3598995,7
43,O=Cc1cccc(O)c1Br,2,No_Exp,0.29628274,3.4367168,7
44,Oc1c(Cl)cccc1Cl,2,No_Exp,4.1665626,12.279795,4
45,O=[N+]([O-])c1cccc(F)c1O,2,No_Exp,3.0800405,11.142831,4
46,OCCc1ccc(Cl)cc1,1,No_Exp,0.22098945,14.650291,6
47,OCc1ccc(C(F)(F)F)cc1,1,No_Exp,-4.414566,4.7392387,12
48,O=Cc1cc(Br)ccc1O,2,No_Exp,-0.15464944,10.596078,1
49,Oc1cc(F)cc(F)c1,2,No_Exp,-1.4935365,-0.12949942,9
50,Oc1cc(Br)cc(Br)c1,2,No_Exp,-1.2466542,-0.97905713,9
51,C=CCOCCO,1,No_Exp,4.764745,7.2617106,0
52,C[C@@H](CO)NC(=O)OC(C)(C)C,1,No_Exp,6.603174,16.382235,2
53,OCCCCCCCCCBr,1,No_Exp,-5.795444,0.23854367,8
54,OC(C(F)(F)F)C(F)(F)F,2,No_React,6.488851,11.570487,3
55,OCCOc1ccc2ccccc2c1,1,No_Exp,5.539232,6.170881,0
56,OCC(F)(F)C(F)(F)F,1,No_Exp,4.5716505,12.290829,4
57,OCC(F)(F)C(F)(F)C(F)(F)F,1,No_Exp,4.618684,12.159975,4
58,O=C(NCO)c1ccccc1,1,No_Exp,-3.3347738,6.2891626,12
59,NC(=O)c1ccccc1O,2,No_Exp,-1.2259805,11.177655,1
60,COc1cccc(O)c1,2,No_Exp,-2.3351305,-0.69468683,9
61,COc1ccc(C=O)c(O)c1,2,No_Exp,-1.0484536,10.268328,1
62,COc1cc(C=O)cc(OC)c1O,2,No_Exp,3.6331341,3.8717237,0
63,COC(=O)c1ccccc1O,2,No_Exp,-1.7376001,11.747324,1
64,COC(=O)c1ccc(O)c(Cl)c1,2,No_Exp,1.410172,5.60233,7
65,Oc1ccc(Cl)c(Cl)c1,2,No_Exp,-0.74026835,-1.7145135,9
66,CCOC(=O)c1ccccc1O,2,No_Exp,-1.3909838,11.435918,1
67,CCOC(=O)[C@H](C)O,2,No_Exp,5.405957,13.241666,2
68,CCCOC(=O)c1ccc(O)cc1,2,No_Exp,-1.9527651,1.5891615,9
69,CCCCOCCOCCO,1,No_Exp,5.085912,6.110506,0
70,CCCCCO,1,No_Exp,-5.5450683,2.9738991,8
71,CCCCCCCCCO,1,No_Exp,-7.0799336,1.2963191,8
72,CCCCCCCCCCCCCCCCCCO,1,No_Exp,-2.018066,8.412179,1
73,CCCCc1ccc(O)cc1,2,No_Exp,1.9972476,1.6239262,11
74,Cc1ccccc1O,2,No_Exp,-0.5943833,6.2512946,7
75,Cc1cc(O)c(Cl)c(C)c1Cl,2,No_Exp,1.2430252,6.0083013,7
76,CC(=O)Nc1cccc(O)c1,2,No_Exp,-1.6905828,-0.402922,9
77,CC(C)c1ccc(CO)cc1,1,No_Exp,-1.0913417,13.736947,6
78,CC(=O)c1ccc(O)cc1,2,No_Exp,-3.095653,-1.9031134,9
79,CC(=O)c1ccc(F)cc1O,2,No_Exp,-2.228299,11.027031,1
80,OCC1CC1,1,No_Exp,-1.1996268,7.9011493,1
81,OC1CCC1,2,React,7.7277946,8.78665,3
82,OCC1c2ccccc2-c2ccccc21,1,No_Exp,-3.3761232,6.057249,12
83,O=Nc1ccc2ccccc2c1O,2,No_Exp,-0.27530771,10.110221,1
84,OCc1ccc(-c2ccccc2)cc1,1,No_Exp,-0.80959296,15.131522,6
85,Oc1cccc(Cl)n1,2,No_Exp,-3.5634792,2.2336562,8
86,Oc1ccc(Cl)c(F)c1,2,No_Exp,-1.2291954,-1.4359663,9
87,O=[N+]([O-])c1ccc(F)cc1O,2,No_Exp,1.4141724,10.719151,4
88,Oc1ccc(F)cc1Cl,2,No_Exp,1.2852165,6.632674,0
89,Oc1ccc(Cl)cc1Cl,2,No_Exp,1.0663304,5.9296036,7
90,Oc1ccc(Br)cc1F,2,No_Exp,1.6530665,5.9341154,0
91,Oc1cccnc1Br,2,No_Exp,-0.255501,2.536753,7
92,Oc1ccc(OC(F)(F)F)cc1,2,No_Exp,-2.7482853,-1.1205566,9
93,OCc1ccc(F)cc1,1,No_Exp,-1.4363352,15.084551,6
94,O=Cc1cc([N+](=O)[O-])ccc1O,2,No_Exp,-0.99900573,10.45274,1
95,Oc1c(Br)cc(Br)cc1Br,2,No_Exp,-0.27105948,3.9258492,7
96,C=Cc1ccc(O)cc1,2,No_React,-2.2793229,1.6763313,9
97,C/C=C/C=C/CO,1,No_Exp,-5.735753,2.397454,8
98,C#CCCCCO,1,No_Exp,-2.4068174,8.127692,1
99,Oc1c(Br)cccc1Br,2,No_Exp,-0.41115934,4.13238,7
100,OCc1ccccc1,1,React,-1.3225646,14.453489,6
101,Oc1cccc2c1CCCC2,2,No_Exp,-1.4144603,6.2566404,7
102,COc1ccc(C(O)c2ccc(OC)cc2)cc1,2,No_Exp,3.052127,18.849878,10
103,O=C(NCO)c1cccnc1,1,No_Exp,-3.2057688,6.470118,12
