SMILES,Tag,level,O_index,Exp_State
CC(C)(C)OC(=O)N1CCC(CO)C1,True,1,12,No_Exp
Oc1ccncc1,True,2,0,No_React
C#CC1(O)CCCCC1,True,3,3,No_Exp
O=C1CC[C@@H](CO)N1,True,1,6,No_Exp
CC(C)c1cccc(=O)c(O)c1,True,2,10,No_Exp
CC(C)(C)OC(=O)Nc1cccc(O)c1,True,2,13,No_Exp
COc1ccc(-c2coc3cc(O)ccc3c2=O)cc1,True,2,12,No_Exp
COc1ccc(C=O)cc1O,True,2,10,No_Exp
COc1cc(CO)c([N+](=O)[O-])cc1OC,True,1,6,No_Exp
COC(=O)CO,True,1,5,No_Exp
COC(=O)CCc1ccc(O)cc1,True,2,10,No_Exp
COC(=O)C[C@H](O)C(=O)OC,True,2,6,No_Exp
Cc1cccnc1O,True,2,7,No_Exp
Cc1cccc(O)n1,True,2,6,No_Exp
Cc1ccc(O)cn1,True,2,5,No_Exp
Cc1cc(O)ccc1Br,True,2,4,No_Exp
Cc1ccc(F)c(O)c1,True,2,7,No_Exp
Cc1c(OCC(F)(F)F)ccnc1CO,True,1,14,No_Exp
CC(C)CC(O)CC(C)C,True,2,5,No_Exp
CC(C)(C)OC(=O)NCCO,True,1,10,No_Exp
COC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)OC(C)(C)C,True,2,10,No_Exp
COC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c1ccccc1,True,2,5,No_Exp
COC(=O)C(C)(C)CO,True,1,8,No_Exp
CC(C)(C)OC(=O)N1CCCC(CO)C1,True,1,13,No_Exp
CC(C)(C)OC(=O)N1CCC(O)C1,True,2,11,No_Exp
CC(C)(C)OC(=O)N1CC(O)C1,True,2,10,No_Exp
CC(C)(C)c1ccc(O)c(C=O)c1,True,2,8,No_Exp
CC(C)(C)c1cc(C=O)c(O)c(C(C)(C)C)c1,True,2,10,No_Exp
CC(=O)c1cccc(O)c1,True,2,8,No_Exp
COc1cc(C(C)=O)ccc1O,True,2,11,No_Exp
OC1CCOCC1,True,2,0,No_Exp
O[C@H]1CCOC1,True,2,0,No_Exp
OCC1CCCCC1,True,1,0,React
OC1COC1,True,2,0,No_Exp
Oc1cccnc1,True,2,0,No_Exp
Oc1cc(Br)ccn1,True,2,0,No_Exp
Oc1cccc2[nH]ccc12,True,2,0,No_Exp
OCc1ccccn1,True,1,0,No_Exp
Oc1ccc(OCc2ccccc2)cc1,True,2,0,No_Exp
Oc1ccccc1F,True,2,0,No_Exp
OCCc1ccccc1Cl,True,1,0,No_Exp
Oc1ccc(Br)nc1,True,2,0,No_Exp
OCc1cccc(Br)c1,True,1,0,No_Exp
Oc1ncccc1Br,True,2,0,No_Exp
O=Cc1cccc(O)c1Br,True,2,7,No_Exp
Oc1c(Cl)cccc1Cl,True,2,0,No_Exp
O=[N+]([O-])c1cccc(F)c1O,True,2,10,No_Exp
OCCc1ccc(Cl)cc1,True,1,0,No_Exp
OCc1ccc(C(F)(F)F)cc1,True,1,0,No_Exp
O=Cc1cc(Br)ccc1O,True,2,9,No_Exp
Oc1cc(F)cc(F)c1,True,2,0,No_Exp
Oc1cc(Br)cc(Br)c1,True,2,0,No_Exp
C=CCOCCO,True,1,6,No_Exp
C[C@@H](CO)NC(=O)OC(C)(C)C,True,1,3,No_Exp
OCCCCCCCCCBr,True,1,0,No_Exp
OC(C(F)(F)F)C(F)(F)F,True,2,0,No_React
OCCOc1ccc2ccccc2c1,True,1,0,No_Exp
OCC(F)(F)C(F)(F)F,True,1,0,No_Exp
OCC(F)(F)C(F)(F)C(F)(F)F,True,1,0,No_Exp
O=C(NCO)c1ccccc1,True,1,4,No_Exp
NC(=O)c1ccccc1O,True,2,9,No_Exp
COc1cccc(O)c1,True,2,7,No_Exp
COc1ccc(C=O)c(O)c1,True,2,9,No_Exp
COc1cc(C=O)cc(OC)c1O,True,2,12,No_Exp
COC(=O)c1ccccc1O,True,2,10,No_Exp
COC(=O)c1ccc(O)c(Cl)c1,True,2,8,No_Exp
Oc1ccc(Cl)c(Cl)c1,True,2,0,No_Exp
CCOC(=O)c1ccccc1O,True,2,11,No_Exp
CCOC(=O)[C@H](C)O,True,2,7,No_Exp
CCCOC(=O)c1ccc(O)cc1,True,2,10,No_Exp
CCCCOCCOCCO,True,1,10,No_Exp
CCCCCO,True,1,5,No_Exp
CCCCCCCCCO,True,1,9,No_Exp
CCCCCCCCCCCCCCCCCCO,True,1,18,No_Exp
CCCCc1ccc(O)cc1,True,2,8,No_Exp
CCC(C)(O)CCC(C)C,True,3,4,No_Exp
Cc1ccccc1O,True,2,7,No_Exp
Cc1cc(O)c(Cl)c(C)c1Cl,True,2,4,No_Exp
CC(=O)Nc1cccc(O)c1,True,2,9,No_Exp
CC(C)c1ccc(CO)cc1,True,1,8,No_Exp
CC(=O)c1ccc(O)cc1,True,2,7,No_Exp
CC(=O)c1ccc(F)cc1O,True,2,10,No_Exp
OCC1CC1,True,1,0,No_Exp
OC1CCC1,True,2,0,React
OCC1c2ccccc2-c2ccccc21,True,1,0,No_Exp
O=Nc1ccc2ccccc2c1O,True,2,12,No_Exp
OCc1ccc(-c2ccccc2)cc1,True,1,0,No_Exp
Oc1cccc(Cl)n1,True,2,0,No_Exp
Oc1ccc(Cl)c(F)c1,True,2,0,No_Exp
O=[N+]([O-])c1ccc(F)cc1O,True,2,10,No_Exp
Oc1ccc(F)cc1Cl,True,2,0,No_Exp
Oc1ccc(Cl)cc1Cl,True,2,0,No_Exp
Oc1ccc(Br)cc1F,True,2,0,No_Exp
Oc1cccnc1Br,True,2,0,No_Exp
Oc1ccc(OC(F)(F)F)cc1,True,2,0,No_Exp
OCc1ccc(F)cc1,True,1,0,No_Exp
O=Cc1cc([N+](=O)[O-])ccc1O,True,2,11,No_Exp
Oc1c(Br)cc(Br)cc1Br,True,2,0,No_Exp
C=Cc1ccc(O)cc1,True,2,6,No_React
C/C=C/C=C/CO,True,1,6,No_Exp
C#CCCCCO,True,1,6,No_Exp
Oc1c(Br)cccc1Br,True,2,0,No_Exp
OCc1ccccc1,True,1,0,React
Oc1cccc2c1CCCC2,True,2,0,No_Exp
COc1ccc(C(O)c2ccc(OC)cc2)cc1,True,2,7,No_Exp
C=CC(C)(O)CCCC(C)CCCC(C)CCCC(C)C,True,3,4,No_Exp
O=C(NCO)c1cccnc1,True,1,4,No_Exp
O=C1C=CC(=O)N1CCO,True,1,9,No_Exp
CC(C)[C@@H](C)/C=C/[C@@H](C)[C@H]1CC[C@H]2C3=CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,True,2,19,No_Exp
CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,True,2,18,No_Exp
OCc1cccc(I)c1,True,1,0,No_Exp
Oc1c(Br)cc(F)cc1Br,True,2,0,No_Exp
COCCO,True,1,4,No_Exp
COc1ccc(O)cc1,True,2,6,No_Exp
COc1cc(C=O)ccc1O,True,2,10,No_Exp
CCOC(=O)C(O)CC(C)C,True,2,6,No_Exp
CCCOCC(C)O,True,2,7,No_Exp
CCCCCCCCO,True,1,8,No_Exp
CCCCCCCCCCCO,True,1,11,No_Exp
CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO,True,1,36,No_Exp
CCCCCCCCCCCCCCCc1cccc(O)c1,True,2,20,No_Exp
CCCCCCCC/C=C\CCCCCCCCO,True,1,18,No_Exp
CCc1ccc(CO)cc1,True,1,7,No_Exp
CCC/C=C\CO,True,1,6,No_Exp
CCC(C)CCO,True,1,6,No_Exp
CCC(C)c1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,True,2,12,No_Exp
Cc1ccc2cc(O)ccc2n1,True,2,7,No_Exp
Cc1ccc2c(O)cc(=O)oc2c1,True,2,6,No_Exp
Cc1cccc(O)c1,True,2,6,No_Exp
Cc1cc(C)c(O)c(C(C)(C)C)c1,True,2,6,No_React
Cc1nccc2c1[nH]c1cc(O)ccc12,True,2,11,No_Exp
CC[C@H](C)CO,True,1,5,No_Exp
CC[C@@H](C)O,True,2,4,No_Exp
CC(O)CBr,True,2,2,No_Exp
CC(O)Cc1ccccc1,True,2,2,No_Exp
CC(O)C1CC1,True,2,2,No_Exp
CC(O)c1ccc2ccccc2c1,True,2,2,No_Exp
CC(C)O,True,2,3,No_Exp
CC(C)CO,True,1,4,No_Exp
CC(C)(C)CO,True,1,5,No_Exp
CC(C)(C)c1ccc(O)cc1,True,2,8,No_Exp
